Page,Edits,Editors,Views,Date
Indian Premier League,222,69,20824192,May 2023
Index (statistics),13,11,20502745,January 2023
2023 Cricket World Cup,482,75,15958288,October 2023
The Idol (TV series),299,105,14303395,June 2023
J. Robert Oppenheimer,382,109,14211019,July 2023
Oppenheimer (film),1216,348,13952079,July 2023
Jawan (film),838,106,13620786,September 2023
2023 Indian Premier League,585,64,12968266,May 2023
Matthew Perry,813,311,11975239,October 2023
Cricket World Cup,114,22,10027952,October 2023
Sinéad O'Connor,603,223,8898539,July 2023
2023 Asia Cup,381,65,8613897,September 2023
Indian Premier League,215,43,8512012,April 2023
Barbie (film),1354,461,8411080,July 2023
Lisa Marie Presley,486,207,8401735,January 2023
Hamas,588,162,8236474,October 2023
Gaza Strip,266,95,8191698,October 2023
ChatGPT,112,59,8009498,April 2023
YouTube,24,19,7716744,March 2023
Tina Turner,573,219,7363657,May 2023
ChatGPT,162,60,7126714,May 2023
Israel,173,62,7008743,October 2023
Pathaan (film),801,136,6950455,January 2023
ChatGPT,284,95,6916888,March 2023
Oppenheimer (film),767,199,6903561,August 2023
Asia Cup,132,91,6856295,September 2023
Pathaan (film),565,110,6767938,February 2023
YouTube,29,19,6691030,October 2023
State of Palestine,61,36,6656663,October 2023
Leo (2023 Indian film),948,95,6633392,October 2023
Gadar 2,573,153,6594980,August 2023
Avatar: The Way of Water,845,297,6522721,January 2023
David Beckham,27,15,6487475,October 2023
The Last of Us (TV series),302,70,6387263,February 2023
Cleopatra,16,9,6184081,May 2023
Cleopatra,28,10,6165986,August 2023
Cleopatra,11,8,6126780,July 2023
YouTube,20,15,6058037,August 2023
ChatGPT,296,86,5947457,February 2023
YouTube,30,20,5908321,May 2023
Spider-Man: Across the Spider-Verse,855,266,5901497,June 2023
The Last of Us (TV series),599,166,5856521,January 2023
YouTube,40,25,5846356,September 2023
2023 Indian Premier League,935,142,5772880,April 2023
Cleopatra,24,15,5770640,June 2023
ChatGPT,195,57,5723544,June 2023
Guardians of the Galaxy Vol. 3,1346,531,5659124,May 2023
Cleopatra,4,4,5640571,September 2023
XXX: Return of Xander Cage,2,2,5474996,January 2023
Cleopatra,49,15,5417103,April 2023
J. Robert Oppenheimer,314,55,5356031,August 2023
ChatGPT,150,66,5349371,January 2023
Adipurush,996,169,5337008,June 2023
Rihanna,37,26,5330257,February 2023
Facebook,29,15,5295846,October 2023
XXX: Return of Xander Cage,2,2,5286904,October 2023
Cleopatra,13,8,5204577,January 2023
The Kerala Story,405,80,5071991,May 2023
Cleopatra,21,15,5063272,March 2023
Everything Everywhere All at Once,482,211,5061529,March 2023
Cleopatra,17,11,5044842,October 2023
