Page,Edits,Editors,Views
"Bible",31,10,4005834
"Deaths in 2021",3467,250,3995664
"Elon Musk",168,46,3811732
"State of Palestine",57,22,3348702
"Army of the Dead",663,203,3338415
"Microsoft Office",6,5,3298703
"Google logo",3,2,3246402
"Cleopatra",5,5,3214845
"Mare of Easttown",188,81,3099068
"Israel",21,18,3013258
"Halston",58,41,2988987
"Eurovision Song Contest 2021",1414,404,2948322
"Israeli–Palestinian conflict",51,32,2754130
"XXXX",0,0,2528863
"Hamas",93,43,2435768
"Bill Gates",183,76,2132201
"Invincible (TV series)",145,82,2086219
"Jupiter's Legacy (TV series)",174,70,2042206
"Radhe (2021 film)",638,270,2033865
"Resident Evil Village",382,163,1976474
"Gaza Strip",29,18,1947887
"Olivia Rodrigo",265,83,1884974
"Matthew Perry",60,43,1823824
"David Berkowitz",93,58,1750320
"Dogecoin",88,32,1746039
"Skathi (moon)",4,2,1733011
"Eternals (film)",167,50,1687535
"The Woman in the Window (2021 film)",200,108,1633718
"Canelo Álvarez",46,22,1585204
"Shadow and Bone (TV series)",132,79,1582719
"2021 Israel–Palestine crisis",2198,273,1574359
"Critical race theory",72,30,1545557
"Iron Dome",56,17,1527832
"Jennifer Aniston",12,10,1482158
"United States",106,52,1457046
"Elizabeth II",75,27,1450773
"A Quiet Place Part II",344,146,1441582
"Friends: The Reunion",260,135,1409657
"Melinda Gates",0,0,1368383
"Selena",31,8,1356416
"Elliot Page",59,36,1352736
"Liz Cheney",204,80,1340454
"The Handmaid's Tale (TV series)",51,27,1338531
"Friends",23,17,1329063
"Mortal Kombat (2021 film)",108,53,1267929
"Cruella (film)",500,166,1258613
"UEFA Euro 2020",92,46,1245688
"F5 Networks",0,0,1241320
"Phil Mickelson",155,92,1228356
"Al-Aqsa Mosque",33,18,1212434
"Mother's Day",38,18,1212281
"Cristiano Ronaldo",92,32,1193477
"F9 (film)",120,34,1189493
"Shadow and Bone",29,23,1164231
"Tawny Kitaen",192,67,1162011
"David Schwimmer",28,20,1161749
"Ariana Grande",87,38,1140963
"Måneskin",262,105,1138881
"Spiral (2021 film)",642,132,1113567
"India",61,23,1107779
"2021 NFL Draft",362,70,1085764
"COVID-19 pandemic",166,55,1067029
"List of Marvel Cinematic Universe films",64,26,1062441
"Billie Eilish",63,45,1057716
"Tenet (film)",74,46,1052120
"Matt LeBlanc",22,16,1051389
"BF",13,9,1035126
"Chelsea F.C.",24,19,1032550
"Anya Taylor-Joy",82,56,1027888
"Lisa Kudrow",20,15,1012209
"Dua Lipa",59,27,989776
"Dwayne Johnson",19,16,989772
"2021 West Bengal Legislative Assembly election",451,97,988571
"Wikipedia",71,21,987987
"Miss Universe 2020",250,56,986464
"History of bitcoin",25,17,980941
"Courteney Cox",3,2,978309
"Dave Bautista",26,14,977935
"History of the Israeli–Palestinian conflict",12,5,974769
"Caitlyn Jenner",105,31,971522
"WrestleMania Backlash",0,0,963678
"Charles Sobhraj",50,27,961061
"Nomadland (film)",0,0,955236
"Those Who Wish Me Dead",190,74,950275
"Jerusalem",24,15,946064
"Angelina Jolie",24,14,944727
"UEFA Champions League",106,71,943677
"Liza Minnelli",16,9,943167
"Without Remorse (film)",170,72,941935
"Bitcoin",47,18,934889
"BTS",54,20,929325
"Wrath of Man",292,98,928365
"Boris Johnson",137,48,921432
"XXX (2002 film)",1,1,921241
"Tulsa race massacre",181,87,914262
"Freddie Mercury",61,19,911927
"Donald Trump",168,64,905092
"Adolf Hitler",13,11,902304
"Cryptocurrency",26,17,902175
"2021–22 UEFA Champions League",325,103,900933
"Asperger syndrome",?,?,899720
"Benjamin Netanyahu",?,?,895997
"Sex",?,?,894234
"List of European Cup and UEFA Champions League finals",?,?,893576
"Omni-Man",?,?,891253
"BBC World Service",?,?,884114
"Ben Affleck",?,?,880093
"Joe Biden",?,?,877994
"Grimes (musician)",?,?,870728
"Kentaro Miura",?,?,867193
"UEFA Europa Conference League",?,?,860301
"Star Wars: The Bad Batch",?,?,858347
"Vincenzo (TV series)",?,?,852331
"UFC 262",?,?,849483
"The Mitchells vs. the Machines",?,?,847939
"Mamata Banerjee",?,?,844383
"N'Golo Kanté",?,?,842711
"Floyd Mayweather Jr.",?,?,841614
"Elton John",?,?,841048
"Billy Joe Saunders",?,?,840316
"Things Heard & Seen",?,?,837043
"Kate Winslet",?,?,835853
"M. K. Stalin",?,?,835651
"Lily James",?,?,835131
"World War II",?,?,834100
"United Kingdom",?,?,834099
"Zionism",?,?,833096
"Thomas Tuchel",?,?,831275
